"Ticker","Nome","Negócios","Última (R$)","Variação"
"POMO3","Marcopolo","382.600","7,38","+1,65%"
"FESA4","Ferbasa","377.100","6,55","-1,50%"
"VTRU3","VITRUBREPCOM","355.700","11,29","-3,50%"
"WIZC3","Wiz Soluções","355.700","8,36","-1,76%"
"ENJU3","Enjoei","344.700","0,92","+1,10%"
"SEQL3","Sequoia Logística","328.200","1,08","-5,26%"
"ABCB4","Banco ABC Brasil","319.300","22,80","-1,85%"
"PMAM3","Paranapanema","301.400","1,29","-0,77%"
"LEVE3","Mahle Metal Leve","298.000","27,60","+1,40%"
"ALPK3","Estapar","264.600","3,46","+1,17%"
"BRBI11","BR Partners","263.300","17,84","-2,03%"
"TGMA3","Tegma","253.900","34,47","+0,20%"
"LOGG3","LOG CP","247.400","23,01","-0,52%"
"AGRO3","BrasilAgro","212.500","20,30","-0,54%"
"VLID3","Valid","211.400","20,61","-2,00%"
"TASA4","Taurus","208.200","4,79","-0,42%"
"LPSB3","Lopes","200.300","1,28","-3,76%"
"SHOW3","Time For Fun","197.100","5,87","-0,17%"
"FRAS3","Fras-le","189.900","22,20","-1,29%"
"MATD3","Mater Dei","175.800","4,42","-1,12%"
"UNIP6","Unipar","174.900","73,07","+0,77%"
"SAPR3","Sanepar","169.600","7,68","-2,91%"
"TRAD3","Traders Club","159.500","5,30","-1,67%"
"BLAU3","Blau Farmacêutica","151.500","13,40","-2,69%"
"ALLD3","Allied","151.200","8,78","+0,23%"
"PTBL3","Portobello","150.300","4,11","+0,74%"
"PFRM3","Profarma","149.300","7,60","-0,78%"
"PNVL3","Dimed","141.000","9,50","-1,76%"
"AMAR3","Lojas Marisa","128.700","1,21","+0,00%"
"TAEE4","Taesa","125.600","12,24","-0,49%"
"BRST3","Brisanet","110.400","2,80","+0,72%"
"SCAR3","São Carlos","106.900","21,39","+2,84%"
"DEXP3","Dexxos","100.600","8,10","-1,10%"
"AALR3","Alliança","92.500","6,70","-0,89%"
"LUPA3","Lupatech","87.900","1,01","-0,98%"
"CMIG3","Cemig","87.700","14,24","+0,21%"
"ROMI3","Indústrias ROMI","80.500","7,86","-0,13%"
"SANB4","Banco Santander","74.100","15,07","-0,26%"
"OIBR4","Oi","71.800","5,54","-7,67%"
"TAEE3","Taesa","67.900","12,12","-0,57%"
"EUCA4","Eucatex","65.800","16,90","-2,14%"
"ITSA3","Itaúsa","64.700","11,17","-1,15%"
"SANB3","Banco Santander","62.600","13,80","+0,00%"
"VITT3","Vittia","57.000","4,81","-1,23%"
"TECN3","Technos","55.500","6,64","-2,35%"
"RNEW3","Renova Energia","55.400","1,10","-1,79%"
"ETER3","Eternit","53.900","4,55","+0,66%"
"AERI3","Aeris Energy","53.300","4,08","-0,49%"
"RNEW4","Renova Energia","50.500","1,01","-1,94%"
"AMOB3","Automob","47.900","12,60","+1,04%"
"TCSA3","Tecnisa","46.500","1,50","-1,32%"
"DMVF3","D1000 Varejo Farma","44.400","4,68","-3,11%"
"CSUD3","CSU Cardsystem","42.400","18,06","+0,06%"
"LAND3","Terra Santa","40.500","8,91","+1,14%"
"WEST3","Westwing","39.800","5,14","+4,90%"
"VIVR3","Viver","39.200","0,93","-2,11%"
"INEP4","Inepar","37.900","1,40","-4,11%"
"BRKM3","Braskem","37.000","7,61","-3,79%"
"BRAP3","Bradespar","32.900","15,75","+1,03%"
"BIOM3","Biomm","31.400","9,00","+1,01%"
"FHER3","Fertilizantes Heringer","31.200","4,44","+1,37%"
"UCAS3","Unicasa","29.300","1,29","-3,01%"
